designation,ra,dec,j_m
22065871+2637219,331.744655,26.622766,5.367
22070372+2702252,331.765505,27.040348,6.974
21582033+2504282,329.584742,25.074505,6.0
22011868+2436151,330.327857,24.604195,6.02
22003034+2552367,330.126428,25.876879,6.577
22014244+2503308,330.426851,25.058569,6.812
22065873+2508408,331.744719,25.14467,5.722
07140331+0434406,108.513811,4.577953,5.76
07132014+0514375,108.333948,5.243769,6.54
07115139+0539169,107.964125,5.654716,6.024
07142939+0413203,108.622467,4.222319,6.48
07161461+0343598,109.060901,3.733294,6.99
07163378+0521414,109.14077,5.361523,6.296
07150086+0448217,108.753617,4.806032,5.92
07151472+0429332,108.811334,4.492572,6.75
07230988+0522456,110.791186,5.379342,6.305
07221728+0440192,110.572028,4.672004,6.503
07250954+0438369,111.289769,4.643601,6.585
07221091+0257428,110.545486,2.961906,6.265
07220317+0300487,110.513237,3.013551,6.448
07211785+0306019,110.3244,3.100547,6.933
07200262+0346365,110.010932,3.776831,5.532
07222458+0300341,110.602418,3.009499,6.345
07270030+0358266,111.751273,3.974074,6.216
07263329+0303014,111.638731,3.050397,6.278
07274567+0329290,111.940315,3.4914,6.496
07242328+0417431,111.097017,4.295333,6.389
07222569+0413497,110.607075,4.230477,6.638
07372423+1150316,114.35096,11.842129,5.95
07333316+1127315,113.388168,11.458753,6.23
07363661+1046572,114.152565,10.782568,6.452
07350619+1113142,113.775794,11.220624,6.235
07353724+1057433,113.905198,10.962029,6.843
07364840+1122310,114.201699,11.375303,6.179
07264326+1146137,111.680256,11.770479,6.673
07351933+0946116,113.830554,9.769902,6.035
07342640+1014196,113.610012,10.238786,6.832
07345897+0958061,113.745731,9.968362,6.316
07345947+1057404,113.747819,10.961235,6.104
07340496+1034051,113.520688,10.568092,6.206
07314826+1106198,112.951089,11.105525,6.637
07331790+1102084,113.324585,11.035674,6.506
07173581+1049441,109.399215,10.828929,6.981
07214618+0929013,110.442456,9.483696,6.853
07223239+1025171,110.634998,10.421432,6.035
07232688+1001109,110.862013,10.019704,6.581
07184475+1021529,109.68648,10.364719,6.636
07190576+1018539,109.774022,10.314996,7.0
07193364+1149104,109.890192,11.819582,6.535
07220835+1059297,110.534832,10.991589,6.724
07230321+1054224,110.763381,10.906245,6.952
07214420+1124403,110.434178,11.411209,6.281
07225024+1032481,110.709353,10.5467,6.968
07212747+1100425,110.36447,11.011822,6.021
07183811+1104129,109.658823,11.070269,6.123
07331401+0619055,113.308379,6.318205,6.529
07334285+0725240,113.428544,7.423359,6.07
07341800+0654283,113.575035,6.907872,6.764
07304285+0655180,112.678549,6.92167,6.52
07312225+0726186,112.84274,7.438519,6.753
07352077+0830576,113.836572,8.516019,5.889
07320386+0859015,113.016115,8.983777,6.967
07335801+0814118,113.491709,8.236628,6.07
07330325+0823517,113.263569,8.397703,6.343
07324683+0839218,113.195136,8.65608,6.15
07264418+0801061,111.684118,8.018365,6.797
07290290+0851565,112.262084,8.865714,6.032
07283780+0830265,112.157532,8.507372,5.534
07280104+0856197,112.004336,8.938822,6.346
07265344+0837511,111.722687,8.630884,5.867
07262548+0820072,111.606204,8.335341,5.882
07292699+0830029,112.362485,8.500817,6.93
07305657+0833073,112.735732,8.552031,6.052
07304533+0739547,112.688889,7.665215,6.885
07294305+0737551,112.429377,7.631989,6.919
07293544+0750257,112.397669,7.840485,5.466
07315988+0742449,112.999504,7.712483,6.899
07270934+0858535,111.788939,8.981545,6.383
07254178+0947314,111.42411,9.79207,6.451
07262902+0925055,111.620949,9.418207,6.675
07255169+0909421,111.465394,9.161701,6.597
07332276+0903107,113.344868,9.052974,6.148
07331985+0919342,113.332747,9.326182,6.266
07303993+1020153,112.666411,10.337593,6.752
07305034+0936081,112.709777,9.602254,6.588
07322918+0917080,113.121613,9.285568,6.954
07252200+1140512,111.341698,11.680905,6.516
07262778+1036290,111.615768,10.608062,6.251
07264121+1100317,111.671743,11.008831,6.615
07300927+1014230,112.53865,10.239741,6.785
07282893+1020057,112.120543,10.33492,6.563
07270898+1012111,111.787438,10.203084,6.685
07272108+1005155,111.837842,10.087651,6.387
06523871+1118485,103.161326,11.313495,6.896
06514353+1104530,102.931386,11.081415,6.941
06515582+1048019,102.982585,10.800534,6.53
06501293+1116303,102.55389,11.275095,6.993
06582284+0950319,104.595184,9.842201,6.969
06562585+0957237,104.107711,9.956585,6.059
06543160+0929114,103.631675,9.486521,6.492
06562901+0930391,104.120898,9.510867,6.933
06575340+1114054,104.472522,11.234848,5.87
06533675+1129238,103.403128,11.489972,6.174
06544808+1125559,103.700338,11.432215,6.959
06574636+1033496,104.443196,10.563795,6.876
06562046+1101432,104.085257,11.028684,6.107
06572802+1058254,104.366773,10.973732,6.531
06555408+1024210,103.975343,10.405835,6.385
06530725+1028412,103.280236,10.478136,6.734
06543568+1026311,103.648686,10.441998,6.417
07090442+0634275,107.268453,6.574331,6.805
07075566+0657520,106.981946,6.964462,6.938
07084623+0655414,107.192655,6.92819,6.639
07081031+0642429,107.042974,6.711921,6.788
07045832+0836333,106.243008,8.609253,6.866
07064341+0842516,106.680913,8.714349,6.652
07060083+0835491,106.503494,8.596984,6.972
01415453+4534380,25.47722,45.577244,5.935
01474180+4517189,26.924207,45.288597,6.814
01461206+4525377,26.55029,45.427162,6.982
01365472+4416462,24.228,44.27951,6.884
01381416+4519528,24.559025,45.33136,6.575
01383183+4523589,24.632633,45.399712,6.342
01380532+4449049,24.522196,44.818039,6.01
01362534+4442202,24.105607,44.705627,6.592
01342924+4516285,23.621856,45.274586,6.434
01341635+4432084,23.568151,44.535679,6.333
01440561+4314246,26.023379,43.24017,5.977
01441480+4338535,26.061708,43.648216,6.05
01435433+4304414,25.976398,43.078186,6.21
01432763+4300515,25.865166,43.01432,6.508
01385912+4358042,24.746346,43.967861,6.038
01404692+4446535,25.195538,44.781548,5.918
01404970+4501081,25.207106,45.018925,6.408
01392348+4433207,24.847836,44.555763,6.585
01405232+4202568,25.21801,42.049133,6.649
01385032+4149142,24.709687,41.820621,6.534
01361466+4323570,24.061114,43.399193,6.515
01361717+4239597,24.071572,42.666607,6.762
01342429+4218245,23.601214,42.306812,6.407
01292090+4452456,22.337104,44.87936,6.943
01281238+4402573,22.051618,44.049274,6.673
01273788+4326440,21.907846,43.445564,6.991
01335149+4328112,23.46455,43.469791,5.673
01324998+4400053,23.208251,44.001495,6.656
01320762+4342554,23.031779,43.715405,6.893
01283434+4216038,22.143117,42.267727,5.686
01261687+4218405,21.570331,42.311256,6.707
01292645+4216547,22.360221,42.281879,6.256
01285490+4222124,22.228771,42.370136,6.561
01292381+4231424,22.349243,42.528469,6.256
01285625+4242398,22.234412,42.711063,6.65
01341715+4222500,23.57147,42.380573,5.615
01332617+4219395,23.359061,42.327644,6.881
01313391+4220206,22.89133,42.339077,5.903
01311900+4229042,22.829172,42.484512,6.873
01313703+4247280,22.904312,42.791115,6.56
03000819+0014074,45.034161,0.235408,6.606
03031060+0122055,45.794175,1.368207,5.786
03012553+0109222,45.35638,1.156194,6.913
03001744+0058133,45.072691,0.970375,5.853
03051763+0153436,46.323473,1.895445,6.551
03060756+0221207,46.531504,2.35577,5.946
02512081+0303245,42.836719,3.056832,6.707
02550963+0259367,43.79013,2.993551,5.729
02553156+0201058,43.881525,2.018304,6.624
02592586+0139044,44.857756,1.651232,5.778
02571498+0153143,44.312419,1.887317,6.445
03013340+0146069,45.389171,1.768605,6.681
03003613+0559096,45.150578,5.986018,6.687
03035081+0607598,45.961748,6.133282,5.882
03061987+0518529,46.582827,5.314722,6.613
03033133+0520074,45.880565,5.335392,6.963
03063332+0537300,46.63886,5.625025,6.206
03061108+0449249,46.546206,4.82361,6.503
03113437+0443238,47.893234,4.72328,6.286
03080831+0531322,47.034662,5.525627,6.781
03093634+0512102,47.401427,5.202844,6.873
02443261+0539279,41.135878,5.657755,6.018
02461462+0535333,41.560927,5.59259,6.859
02592869+0559314,44.869575,5.99207,6.584
02562382+0536533,44.099257,5.614831,6.957
02521456+0530284,43.060708,5.507904,6.726
03005584+0534287,45.232667,5.574649,5.943
03005779+0517165,45.240807,5.287931,6.556
02525791+0333141,43.241305,3.553924,5.897
02540783+0356103,43.532659,3.936208,6.743
02564669+0330030,44.194569,3.500844,6.965
02570959+0340433,44.289992,3.678703,6.807
02550816+0329127,43.784037,3.486868,6.371
03010266+0333342,45.261103,3.559515,6.978
03022251+0421103,45.593827,4.352881,5.855
02575130+0402234,44.463759,4.039845,6.935
03305926+1112337,52.746944,11.209376,5.879
03303115+1131194,52.629826,11.522081,6.719
03321194+1132326,53.049768,11.542403,6.651
03235307+1150284,50.971125,11.841249,6.491
03251305+0941283,51.30439,9.691199,6.606
03244627+0948282,51.192805,9.807857,5.662
03245935+1000362,51.247296,10.010063,6.071
03282358+1112336,52.098251,11.209344,6.301
03045427+1142259,46.226166,11.707207,6.64
03103880+1152215,47.661676,11.872655,6.027
03130320+1116071,48.26337,11.268644,6.357
03115595+1057520,47.983154,10.964448,6.669
03050352+1047234,46.264672,10.789859,6.249
03053706+1052175,46.404456,10.871539,6.034
03082515+1047451,47.104817,10.795883,6.398
03170900+0647596,49.287525,6.799908,6.453
03172638+0739208,49.359947,7.655805,6.291
03191626+0844256,49.817779,8.740449,6.918
03142351+0912060,48.597997,9.201671,6.117
03144722+0858509,48.696777,8.980808,6.294
03123513+0835373,48.146379,8.593703,5.45
03173278+0741245,49.386596,7.69014,6.639
03101801+0941387,47.575052,9.694088,6.015
03125678+0929212,48.236604,9.489231,6.718
03233570+0923548,50.898757,9.398559,6.547
03211737+0939354,50.322397,9.659852,6.995
03215752+0940333,50.489675,9.675928,6.214
03160313+1137424,49.013049,11.628454,6.838
03173255+1017170,49.385646,10.288082,6.627
02253395+1158165,36.391473,11.971272,6.343
02285710+1200128,37.237954,12.003569,6.98
02354221+1007209,38.925899,10.122483,6.868
02340361+1210512,38.515055,12.180893,6.331
02374532+1216106,39.438843,12.269617,5.681
22081723+2532368,332.071825,25.543573,5.458
22004545+3126599,330.189413,31.449999,6.535
21560802+3039099,329.033436,30.652767,6.806
22013356+3041592,330.389847,30.699778,6.9
22002735+3007217,330.113998,30.122709,6.855
21584676+3049165,329.694843,30.821276,5.555
21503623+2846019,327.650988,28.767202,6.657
21543013+3013447,328.625549,30.229107,6.564
21540659+3006291,328.527495,30.108103,6.914
21540940+3004543,328.539191,30.081774,6.193
21525395+2936206,328.224808,29.605734,6.467
21555709+2924122,328.987875,29.403391,6.222
21545689+2920540,328.737061,29.348358,6.327
21553174+2915317,328.882258,29.258825,6.904
21543327+2905525,328.638634,29.097944,6.892
22064398+2819049,331.683252,28.318037,6.621
22025323+2922131,330.72182,29.370316,6.943
22001558+2835580,330.064921,28.599459,6.346
22024674+2830414,330.694755,28.511526,5.843
22053466+2857503,331.394444,28.963997,5.746
21574930+2841303,329.455426,28.691769,6.913
21571238+2849242,329.301613,28.823412,6.095
22025520+2941159,330.730013,29.687754,5.236
22012683+2922341,330.361797,29.376144,6.313
22005235+2929091,330.218132,29.485884,6.727
22014276+2942545,330.428195,29.715145,6.43
21555351+2937118,328.972965,29.619972,6.095
21584086+2948462,329.670268,29.812847,5.869
22005842+2909549,330.243424,29.165276,6.879
21394420+2456568,324.934171,24.949121,6.535
21401275+2459549,325.053148,24.998596,6.848
21414214+2452306,325.425601,24.875191,6.302
21432756+2542426,325.864845,25.711842,6.348
21414853+2548288,325.452246,25.808002,6.399
21535109+2520503,328.462887,25.347322,6.572
21524440+2450527,328.185019,24.847977,5.875
21530377+2555304,328.265727,25.925137,5.39
21481563+2458483,327.065135,24.980099,6.712
21501240+2535462,327.551707,25.596167,6.325
21503564+2500502,327.648532,25.01395,6.755
21520364+2531159,328.015191,25.521105,6.555
21471914+2805303,326.829772,28.091763,6.389
21451804+2721411,326.325181,27.36142,6.52
21455987+2736023,326.499473,27.600664,6.392
21464893+2718097,326.703896,27.302715,6.959
21432890+2618211,325.870418,26.305866,6.957
21464158+2630028,326.673274,26.500788,6.826
21434192+2615092,325.924693,26.252579,6.339
21442271+2617422,326.094634,26.295082,5.661
21455645+2535003,326.485249,25.583433,6.649
21451551+2557078,326.314664,25.952183,6.758
21470766+2619535,326.78194,26.331539,6.272
21515990+2808292,327.9996,28.141451,6.9
21513422+2805061,327.892593,28.085051,6.94
21522674+2645242,328.111444,26.756748,6.469
21512548+2722064,327.856172,27.36846,6.119
21535468+2820310,328.47785,28.341972,6.286
21554768+2807540,328.94869,28.131685,6.941
21540894+2525175,328.537262,25.421555,6.094
21563233+2613042,329.134728,26.217857,6.607
21562611+2608588,329.108813,26.14967,6.638
21545622+2545112,328.734283,25.753126,6.641
21560254+2553405,329.010591,25.894587,6.314
22055404+2758018,331.475176,27.96719,6.696
22005177+2802505,330.215717,28.047373,6.007
22012231+2654529,330.342972,26.914715,6.356
22031007+2733341,330.791984,27.559492,6.869
22023206+2743290,330.633602,27.724724,5.714
22024220+2741363,330.675838,27.693422,6.444
22005998+2629206,330.249953,26.489065,6.901
21580346+2632204,329.514445,26.539005,5.951
21571292+2800367,329.303859,28.010202,6.797
21553085+2644448,328.878548,26.745789,6.508
21545606+2723133,328.733618,27.387037,6.234
21535485+2703346,328.478579,27.059637,6.715
21561068+2653283,329.044522,26.891203,6.01
21575290+2720245,329.470425,27.340145,6.526
21574837+2711007,329.451563,27.183544,6.669
21444847+3932346,326.20196,39.542969,6.73
21425704+3811042,325.737667,38.184505,6.923
21421846+3822533,325.576926,38.381489,6.86
21485049+3759026,327.210396,37.984066,6.7
21452962+3808289,326.373417,38.14138,6.9
21475267+3812393,326.969496,38.210941,5.39
21431795+3818416,325.8248,38.311569,6.788
21432564+3817007,325.856856,38.283543,5.669
21433663+3818163,325.902654,38.304546,6.81
21443993+3814150,326.166405,38.237507,6.929
21440579+3848207,326.02416,38.805767,6.728
21333267+3631191,323.386142,36.521992,6.332
21360416+3613472,324.017365,36.229782,6.325
21341211+3641507,323.550462,36.697441,6.582
21412051+3640035,325.335475,36.66766,5.804
21401220+3625531,325.050856,36.431427,6.396
21383534+3754536,324.64727,37.914894,6.725
21375736+3737343,324.489039,37.626205,6.389
21375223+3739039,324.467625,37.651093,5.843
21364002+3711435,324.16677,37.195435,6.245
21371164+3703452,324.298504,37.06258,6.659
21511939+3649390,327.830802,36.827515,6.742
21505731+3643252,327.738833,36.723671,6.433
21521348+3625224,328.05617,36.422897,6.883
21492804+3704522,327.366853,37.081173,6.059
21482976+3714423,327.124001,37.245098,6.715
21451935+3636131,326.330642,36.603653,6.709
21481984+3621020,327.082667,36.350559,6.899
21501843+3642503,327.576815,36.713974,6.289
21424427+3616584,325.684488,36.282902,6.972
21420386+3652520,325.5161,36.881126,5.669
21445718+3731485,326.238258,37.530148,6.989
19341352+0003003,293.556339,0.050102,6.992
19312820+0117127,292.867512,1.286881,6.287
19305112+0053045,292.713019,0.884594,6.995
19315015+0049009,292.958989,0.816936,6.88
19312640+0044187,292.860022,0.738551,6.23
19315165+0036066,292.965219,0.601849,6.27
19392869+0010552,294.869546,0.182003,6.661
19360065+0005285,294.002732,0.091266,6.289
19360099+0014588,294.004138,0.249678,6.271
19371519+0015569,294.313298,0.265823,6.013
19360860+0018136,294.035839,0.303805,6.837
19361116+0019543,294.046506,0.331755,6.862
19382171+0020435,294.59049,0.345442,6.624
19374330+0025484,294.430422,0.430136,6.36
19373416+0029340,294.392335,0.492796,6.859
19324583+0234383,293.190959,2.577326,6.32
19342668+0210029,293.611191,2.167498,6.731
19343797+0207366,293.658213,2.12684,6.605
19343918+0152102,293.663266,1.869503,6.704
19343576+0150045,293.649013,1.834593,6.713
19324224+0207104,293.176021,2.119575,6.051
19333181+0200273,293.382547,2.007603,6.622
19353361+0122141,293.890066,1.370593,5.829
19345854+0037385,293.743936,0.627365,6.843
19333601+0100490,293.400068,1.013627,6.722
19345543+0107231,293.730986,1.123088,6.697
19503611+0026030,297.650478,0.434176,6.511
19500617+0002177,297.525748,0.038277,5.586
19491188+0042004,297.299537,0.700124,6.657
19490150+0029115,297.256288,0.486539,6.521
19440495+0225580,296.020655,2.432794,6.785
19425016+0131524,295.709002,1.531241,5.799
19423812+0132426,295.658838,1.545171,6.733
19422975+0135116,295.623994,1.586564,6.452
19454935+0152329,296.455653,1.87581,6.904
19445539+0202411,296.230825,2.044764,6.982
19432718+0210012,295.863283,2.167021,6.169
19413632+0009125,295.401334,0.153495,6.601
19442276+0011438,296.094868,0.195509,6.498
19421366+0108153,295.55693,1.137603,6.733
19422653+0106057,295.610567,1.101599,6.872
19433297+0037434,295.88738,0.628748,6.526
19423285+0037152,295.636906,0.620907,5.903
19433848+0019246,295.910346,0.323505,6.924
19473332+0105200,296.888834,1.088904,5.667
19464471+0107295,296.686319,1.124862,6.552
19453872+0049014,296.411369,0.81708,6.498
19334303+0441304,293.429316,4.691798,6.459
19334969+0433339,293.457055,4.559437,5.384
19343982+0434572,293.665926,4.582567,6.714
19371990+0439292,294.332929,4.658131,6.613
19365619+0500500,294.234132,5.013905,6.587
19340965+0516231,293.540226,5.273086,6.042
19350212+0459587,293.758836,4.999658,6.838
19325729+0329193,293.238717,3.488717,6.109
19364198+0302546,294.174939,3.048514,6.304
19354091+0330241,293.920499,3.506711,6.912
19333691+0345408,293.403793,3.761351,6.859
19343423+0318510,293.642663,3.31419,6.423
19335891+0316361,293.495465,3.276715,6.839
19335668+0334290,293.486196,3.574725,6.327
19405618+0311146,295.234098,3.187403,6.823
19383558+0352027,294.648269,3.867436,6.975
19382331+0305216,294.597138,3.089346,6.943
19381702+0304192,294.570957,3.072007,6.225
19391484+0321140,294.811858,3.353913,6.936
19384899+0322533,294.704137,3.381487,6.225
19385590+0341216,294.732919,3.689361,6.262
19401349+0309008,295.05621,3.150227,6.664
19364839+0338462,294.201636,3.646167,6.503
19335597+0419530,293.483242,4.331403,6.096
19350300+0359439,293.762502,3.99553,6.926
19342216+0430518,293.592347,4.514392,6.605
19350180+0418410,293.757532,4.311396,6.605
19422240+0229556,295.593348,2.498791,6.689
19401476+0249341,295.061503,2.826156,6.586
